PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
65.91,99.88,7.62,21.23,27.43,10.43,1.57,9.83,30.85,1.83,9.55,1.53,148.0,Moderate
68.43,98.43,24.6,27.59,50.51,10.35,1.52,12.64,23.09,2.65,16.45,2.34,147.0,Moderate
83.76,102.69,38.06,29.6,52.78,10.51,1.71,13.79,22.94,2.57,16.0,2.11,171.0,Moderate
177.62,98.01,28.46,25.5,52.22,10.46,1.73,14.74,25.9,2.33,13.33,2.05,213.0,Poor
232.83,108.2,11.17,17.35,26.85,10.58,1.45,8.56,27.64,1.79,9.91,2.41,387.0,Very Poor
71.44,111.72,8.97,16.6,23.98,10.46,1.15,8.39,38.01,1.48,8.14,0.95,211.0,Poor
66.92,105.15,10.65,15.35,24.45,10.35,1.23,7.77,35.08,1.86,9.56,1.54,145.0,Moderate
134.61,109.29,9.99,15.94,24.34,10.52,1.27,9.82,34.33,1.86,9.33,2.09,177.0,Moderate
80.83,113.23,9.04,16.65,24.06,10.55,1.21,8.87,34.37,1.57,9.39,0.97,218.0,Poor
109.82,105.67,15.06,19.71,33.18,10.53,1.33,8.84,35.03,1.56,8.24,1.48,205.0,Poor
66.19,102.61,5.71,13.35,17.48,10.52,0.93,7.82,42.99,1.16,7.22,0.86,195.0,Moderate
69.27,100.47,9.06,18.17,25.57,10.43,1.14,7.82,47.4,1.35,6.72,1.23,145.0,Moderate
97.2,108.77,21.79,20.69,40.86,10.47,1.26,8.82,46.2,1.47,7.94,1.22,228.0,Poor
72.09,101.26,17.44,19.99,35.77,10.44,1.17,8.85,62.68,1.48,8.37,1.13,200.0,Moderate
71.44,107.05,13.04,19.87,31.26,10.47,1.21,8.01,51.86,1.42,7.31,0.9,159.0,Moderate
129.67,103.49,18.62,22.42,39.3,10.33,1.39,7.62,49.16,1.79,10.55,2.19,219.0,Poor
103.44,99.88,21.74,21.93,42.02,10.43,1.22,10.39,53.34,1.48,10.55,1.65,257.0,Poor
60.76,98.54,6.32,13.38,17.95,10.44,0.91,7.1,69.54,1.11,5.88,0.67,216.0,Poor
56.01,104.73,5.12,7.15,10.77,10.4,0.73,7.28,68.31,0.55,2.62,0.22,155.0,Moderate
58.57,93.52,5.16,9.91,13.47,10.42,0.93,7.02,74.69,0.37,2.46,0.13,148.0,Moderate
54.12,99.69,5.16,8.61,12.3,10.39,1.05,8.47,74.38,0.48,3.07,0.14,161.0,Moderate
43.05,82.25,5.78,9.64,13.97,10.41,0.78,6.51,74.51,0.41,2.66,0.12,171.0,Moderate
50.38,79.94,5.56,9.39,13.46,10.42,0.74,7.33,39.71,0.53,3.07,0.16,152.0,Moderate
75.11,102.17,6.03,12.5,17.01,10.51,1.02,8.71,19.6,1.1,5.52,0.42,128.0,Moderate
62.65,114.92,5.01,10.2,13.7,10.39,0.78,10.16,37.85,0.35,3.56,0.07,147.0,Moderate
51.14,103.09,5.2,10.0,13.76,10.42,0.92,13.55,50.35,0.4,3.69,0.07,117.0,Moderate
66.16,97.42,5.23,13.23,17.06,10.5,0.99,8.42,48.7,0.48,3.42,0.09,118.0,Moderate
73.91,105.01,5.09,10.36,14.06,10.59,0.89,7.65,44.51,0.55,3.64,0.13,149.0,Moderate
69.02,103.83,7.99,6.65,12.84,10.58,1.25,9.03,42.29,0.56,3.21,0.12,148.0,Moderate
103.27,95.5,4.76,8.26,10.52,10.57,1.25,12.0,5.79,0.52,4.65,0.26,108.0,Moderate
68.56,107.67,6.71,13.49,18.84,10.61,0.98,9.9,35.46,0.53,4.01,0.24,174.0,Moderate
